gameId,mode,rounds,turnsTaken,gini,herfindahl,treasuryFlowRate,treasuryFinal,netWorth_Extractive,netWorth_Generative,netWorth_Conditional,netWorth_FreeRider,netWorth_Pavlov,cash_Extractive,cash_Generative,cash_Conditional,cash_FreeRider,cash_Pavlov,jail_Extractive,jail_Generative,jail_Conditional,jail_FreeRider,jail_Pavlov,buys_Extractive,buys_Generative,buys_Conditional,buys_FreeRider,buys_Pavlov,builds_Extractive,builds_Generative,builds_Conditional,builds_FreeRider,builds_Pavlov,liquidations,proposals,proposalsPassed,winner
23,Prosperity,12,61,0.0341,0.3719,38.33,460,1146,1211,1180,1227,1013,566,1211,1180,247,33,0,0,0,0,0,5,2,5,0,0,12,8,0,0,0,0,1,0,0x2F5127d166C77eA01941cF14C7b7F0221BBaFf33
25,Prosperity,21,109,0.0893,0.3438,25.81,542,1576,1325,1094,1552,1787,396,1325,1094,132,297,0,0,0,2,3,4,6,6,0,0,16,11,0,0,0,0,10,2,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
27,Prosperity,25,129,0.0796,0.2533,16.52,413,1022,1136,1564,1201,1089,42,1136,354,441,419,0,3,0,3,0,6,3,4,0,4,14,2,0,0,9,0,25,10,0xae42d435907C78C1a9ccc9508ee9af76A301D716
29,Prosperity,35,177,0.1293,0.3130,11.14,390,1078,2008,1205,1658,1874,1078,538,485,678,694,3,0,0,0,0,5,8,6,0,3,13,9,0,0,8,0,14,9,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
31,Prosperity,11,56,0.0416,0.3400,39.27,432,1090,1034,1262,1116,1016,180,244,1262,156,1016,0,0,0,0,0,4,3,4,0,0,9,12,0,0,0,0,1,0,0xA5CE87AB26BeeB961d84C80CAF75384eBdff852C
33,Prosperity,10,53,0.0186,0.3388,25.40,254,1086,1111,1167,1067,1061,6,1111,437,1067,361,0,0,0,0,0,4,3,4,0,0,6,9,0,0,0,0,4,0,0x85e33926d447c2696A7779Fa67f226d6EaF5b1d5
